1;420151, г. Лесной, ул. Вишневая, 32
2;125061, г. Лесной, ул. Подгорная, 8
3;630370, г. Лесной, ул. Шоссейная, 24
4;400562, г. Лесной, ул. Зеленая, 32
5;614510, г. Лесной, ул. Маяковского, 47
6;410542, г. Лесной, ул. Светлая, 46
7;620839, г. Лесной, ул. Цветочная, 8
8;443890, г. Лесной, ул. Коммунистическая, 1
9;603379, г. Лесной, ул. Спортивная, 46
10;603721, г. Лесной, ул. Гоголя, 41
11;410172, г. Лесной, ул. Северная, 13
12;614611, г. Лесной, ул. Молодежная, 50
13;454311, г.Лесной, ул. Новая, 19
14;660007, г.Лесной, ул. Октябрьская, 19
15;603036, г. Лесной, ул. Садовая, 4
16;394060, г.Лесной, ул. Фрунзе, 43
17;410661, г. Лесной, ул. Школьная, 50
18;625590, г. Лесной, ул. Коммунистическая, 20
19;625683, г. Лесной, ул. 8 Марта
20;450983, г.Лесной, ул. Комсомольская, 26
21;394782, г. Лесной, ул. Чехова, 3
22;603002, г. Лесной, ул. Дзержинского, 28
23;450558, г. Лесной, ул. Набережная, 30
24;344288, г. Лесной, ул. Чехова, 1
25;614164, г.Лесной,  ул. Степная, 30
26;394242, г. Лесной, ул. Коммунистическая, 43
27;660540, г. Лесной, ул. Солнечная, 25
28;125837, г. Лесной, ул. Шоссейная, 40
29;125703, г. Лесной, ул. Партизанская, 49
30;625283, г. Лесной, ул. Победы, 46
31;614753, г. Лесной, ул. Полевая, 35
32;426030, г. Лесной, ул. Маяковского, 44
33;450375, г. Лесной ул. Клубная, 44
34;625560, г. Лесной, ул. Некрасова, 12
35;630201, г. Лесной, ул. Комсомольская, 17
36;190949, г. Лесной, ул. Мичурина, 26
